,Unnamed: 0,ID,Population,Labor Part.,Employment,Unemployment,YEAR,AGE,SEX2,HISPAN2,MIGRATE1,PERWT,Total_weighted
185,185,36001,246062,65.2,61.8,5.2,2007,29.72727272727273,0.5454545454545454,0.8181818181818182,11.0,1352.0,14872.0
186,186,36005,1032280,58.6,52.7,10.1,2007,34.638297872340424,0.4680851063829787,0.5106382978723404,47.0,9454.0,444338.0
187,187,36013,109303,60.7,56.2,7.2,2007,22.66666666666667,0.0,0.6666666666666666,3.0,279.0,837.0
188,188,36027,235067,65.0,61.3,5.7,2007,27.6,0.4,1.0,5.0,314.0,1570.0
189,189,36029,739677,62.5,58.3,6.5,2007,27.5625,0.5,1.0,16.0,2788.0,44608.0
190,190,36047,1964861,59.1,55.1,6.7,2007,30.348214285714285,0.5089285714285714,0.8303571428571429,112.0,14929.0,1672048.0
191,191,36059,1044617,64.1,60.9,4.8,2007,32.214285714285715,0.6428571428571429,0.8214285714285714,28.0,3475.0,97300.0
192,192,36061,1374451,67.7,63.1,6.8,2007,30.82191780821918,0.5273972602739726,0.8424657534246576,146.0,23855.0,3482830.0
193,193,36063,174575,61.2,56.9,6.7,2007,18.5,0.5,1.0,4.0,696.0,2784.0
194,194,36069,84219,67.4,63.9,5.0,2007,18.666666666666668,0.6666666666666666,0.6666666666666666,3.0,73.0,219.0
195,195,36071,287888,68.2,61.9,5.2,2007,27.83333333333333,0.5833333333333334,0.5833333333333334,12.0,1580.0,18960.0
196,196,36081,1839385,63.9,59.6,6.6,2007,31.85925925925926,0.4666666666666667,0.6666666666666666,135.0,20278.0,2737530.0
197,197,36083,126083,67.9,64.4,5.2,2007,26.5,0.0,1.0,2.0,665.0,1330.0
198,198,36085,381320,59.5,56.6,4.6,2007,37.285714285714285,0.5714285714285714,0.8571428571428571,14.0,1334.0,18676.0
199,199,36087,226026,63.1,60.9,3.5,2007,39.0,0.5,0.5,6.0,564.0,3384.0
200,200,36089,90205,56.0,51.1,8.4,2007,19.666666666666668,1.0,0.6666666666666666,3.0,90.0,270.0
201,201,36091,174283,67.3,64.7,3.3,2007,39.0,0.5,1.0,2.0,189.0,378.0
202,202,36093,120070,60.4,56.9,5.6,2007,54.0,0.5,0.5,2.0,194.0,388.0
